"","avg.exp","pct.exp","features.plot","id","avg.exp.scaled"
"AAEL008360",0.526656884920999,9.56937799043062,"AAEL008360","0",-0.0196276559044029
"AAEL017272",3.15242940896193,35.9721618094824,"AAEL017272","0",-0.0789495458511862
"AAEL0083601",0.746583356873733,23.2538330494037,"AAEL008360","1",0.457647244284758
"AAEL0172721",3.36196465640126,58.2623509369676,"AAEL017272","1",0.0165708805540856
"AAEL0083602",0.214401037527228,5.26315789473684,"AAEL008360","2",-0.697271766115806
"AAEL0172722",1.25645163166353,21.6374269005848,"AAEL017272","2",-0.943265253855864
"AAEL0083603",1.49155762334952,25.3289473684211,"AAEL008360","3",2.07435811823603
"AAEL0172723",4.05559452800363,45.7236842105263,"AAEL017272","3",0.332774583332423
"AAEL0083604",0.214875624188483,2.35690235690236,"AAEL008360","4",-0.69624183870702
"AAEL0172724",1.96662114691953,14.4781144781145,"AAEL017272","4",-0.619521655839408
"AAEL0083605",0.405092133503943,6.52920962199313,"AAEL008360","5",-0.283442212123741
"AAEL0172725",1.50481103217791,17.8694158075601,"AAEL017272","5",-0.830046136171333
"AAEL0083606",0.458023904557903,5.03597122302158,"AAEL008360","6",-0.168571976074834
"AAEL0172726",0.983943089197993,12.589928057554,"AAEL017272","6",-1.0674931939924
"AAEL0083607",0.146514589107817,5.3639846743295,"AAEL008360","7",-0.8445959950087
"AAEL0172727",1.52104859165488,20.3065134099617,"AAEL017272","7",-0.822643951460285
"AAEL0083608",0.619824121913997,8.37004405286344,"AAEL008360","8",0.18255984495402
"AAEL0172728",3.39193837279042,39.2070484581498,"AAEL017272","8",0.0302349404458347
"AAEL0083609",0.584272981748448,10.8695652173913,"AAEL008360","9",0.105408300969947
"AAEL0172729",2.45406878782738,36.9565217391304,"AAEL017272","9",-0.397309846233282
"AAEL00836010",0.33266198895581,7.40740740740741,"AAEL008360","10",-0.440626973480374
"AAEL01727210",5.16669986403543,54.320987654321,"AAEL017272","10",0.839292015487412
"AAEL00836011",0.62127839584459,8.33333333333333,"AAEL008360","11",0.185715847225635
"AAEL01727211",4.04381544182089,45.5128205128205,"AAEL017272","11",0.327404874185204
"AAEL00836012",0.370058001479844,4.63576158940397,"AAEL008360","12",-0.3594717674408
"AAEL01727212",2.03615404062495,15.8940397350993,"AAEL017272","12",-0.587823830594721
"AAEL00836013",1.80991108347496,22.2222222222222,"AAEL008360","13",2.5
"AAEL01727213",2.08797740304399,29.3650793650794,"AAEL017272","13",-0.56419921499178
"AAEL00836014",0.140809593016962,4.5045045045045,"AAEL008360","14",-0.856976730332037
"AAEL01727214",5.11358467936896,59.4594594594595,"AAEL017272","14",0.815078499384805
"AAEL00836015",0.774470157639252,13.0841121495327,"AAEL008360","15",0.518165970992739
"AAEL01727215",3.17776825866277,31.7757009345794,"AAEL017272","15",-0.0673983736373335
"AAEL00836016",1.21425102564827,16,"AAEL008360","16",1.47255935538358
"AAEL01727216",4.01444615983375,40,"AAEL017272","16",0.314016356630705
"AAEL00836017",0.485051291918644,11.340206185567,"AAEL008360","17",-0.109918311100188
"AAEL01727217",3.41633854997326,43.298969072165,"AAEL017272","17",0.0413582018414788
"AAEL00836018",0.469262318201051,6.31578947368421,"AAEL008360","18",-0.144182857738179
"AAEL01727218",6.78381350530771,57.8947368421053,"AAEL017272","18",1.57648247125946
"AAEL00836019",1.46745395357297,23.4042553191489,"AAEL008360","19",2.02204937848019
"AAEL01727219",10.9778644448851,77.6595744680851,"AAEL017272","19",2.5
"AAEL00836020",0,0,"AAEL008360","20",-1.1625556079275
"AAEL01727220",3.52322485047008,40.5405405405405,"AAEL017272","20",0.0900842521127777
"AAEL00836021",0.312323625321049,6.15384615384615,"AAEL008360","21",-0.484764408995084
"AAEL01727221",8.08036359780401,73.8461538461539,"AAEL017272","21",2.16753824447441
"AAEL00836022",0.223505288481561,7.8125,"AAEL008360","22",-0.677514115174813
"AAEL01727222",0.690598940142104,25,"AAEL017272","22",-1.20121942164974
"AAEL00836023",0.0713673993719669,1.61290322580645,"AAEL008360","23",-1.00767717010426
"AAEL01727223",1.86035796919999,19.3548387096774,"AAEL017272","23",-0.66796364434012
"AAEL00836024",0.173932036688663,5.76923076923077,"AAEL008360","24",-0.785095838245388
"AAEL01727224",2.21320907105331,32.6923076923077,"AAEL017272","24",-0.507110097652907
"AAEL00836025",1.26747831016099,26.0869565217391,"AAEL008360","25",1.58807090193632
"AAEL01727225",4.31380280337184,52.1739130434783,"AAEL017272","25",0.450483488473469
"AAEL00836026",0,0,"AAEL008360","26",-1.1625556079275
"AAEL01727226",2.74622735423842,33.3333333333333,"AAEL017272","26",-0.264124087834252
"AAEL00836027",0.192725760713339,4.76190476190476,"AAEL008360","27",-0.744310512684454
"AAEL01727227",4.10014100208387,50,"AAEL017272","27",0.353081897977554
"AAEL00836028",0.318471337579618,2.5,"AAEL008360","28",-0.47142291022712
"AAEL01727228",0.945492950664475,10,"AAEL017272","28",-1.08502138398882
"AAEL00836029",0.83318501370223,11.1111111111111,"AAEL008360","29",0.645586407551653
"AAEL01727229",0.694799661079518,16.6666666666667,"AAEL017272","29",-1.19930444715235
"AAEL00836030",0.475064386204396,12.1212121212121,"AAEL008360","30",-0.131591461156405
"AAEL01727230",2.73627166099902,42.4242424242424,"AAEL017272","30",-0.26866257038079
"AAEL00836031",0.181376283237204,5.55555555555556,"AAEL008360","31",-0.768940656939146
"AAEL01727231",4.04784017125352,22.2222222222222,"AAEL017272","31",0.329239619777028
