"","x"
"1","5-HT1A"
"2","5-HT1B"
"3","5-HT2A"
"4","5-HT2B"
"5","Ac3"
"6","AdipoR"
"7","aph-1"
"8","aru"
"9","AstA-R1"
"10","AstA-R2"
"11","AstC-R1"
"12","AstC-R2"
"13","Atet"
"14","Baldspot"
"15","bark"
"16","bbc"
"17","bond"
"18","boss"
"19","brk"
"20","bru1"
"21","bru2"
"22","bru3"
"23","Bruce"
"24","brun"
"25","bwa"
"26","CapaR"
"27","CCHa1-R"
"28","CCHa2-R"
"29","CCKLR-17D1"
"30","CCKLR-17D3"
"31","Cdc2rk"
"32","Cerk"
"33","CG11069"
"34","CG11318"
"35","CG11737"
"36","CG12004"
"37","CG12121"
"38","CG12290"
"39","CG1265"
"40","CG12655"
"41","CG12659"
"42","CG13229"
"43","CG1339"
"44","CG13390"
"45","CG13392"
"46","CG13397"
"47","CG13398"
"48","CG13575"
"49","CG13579"
"50","CG13654"
"51","CG13784"
"52","CG13995"
"53","CG14194"
"54","CG14234"
"55","CG15270"
"56","CG15556"
"57","CG15614"
"58","CG15744"
"59","CG15923"
"60","CG1636"
"61","CG17119"
"62","CG17646"
"63","CG17660"
"64","CG2126"
"65","CG30008"
"66","CG30379"
"67","CG31121"
"68","CG31157"
"69","CG31522"
"70","CG31523"
"71","CG31760"
"72","CG31785"
"73","CG31998"
"74","CG32091"
"75","CG32447"
"76","CG32547"
"77","CG33110"
"78","CG33639"
"79","CG33673"
"80","CG3702"
"81","CG3831"
"82","CG41434"
"83","CG42571"
"84","CG42594"
"85","CG4313"
"86","CG43134"
"87","CG43139"
"88","CG43779"
"89","CG43795"
"90","CG44153"
"91","CG4615"
"92","CG4743"
"93","CG5326"
"94","CG5850"
"95","CG6282"
"96","CG6660"
"97","CG6836"
"98","CG7272"
"99","CG7497"
"100","CG7744"
"101","CG8534"
"102","CG9458"
"103","CG9663"
"104","CG9760"
"105","Cirl"
"106","CNMaR"
"107","Crk"
"108","CrzR"
"109","Dark"
"110","Dh31-R"
"111","Dh44-R1"
"112","Dh44-R2"
"113","Dop1R1"
"114","Dop1R2"
"115","Dop2R"
"116","DopEcR"
"117","Drip"
"118","drk"
"119","Dyrk2"
"120","Dyrk3"
"121","Eglp4"
"122","Erk7"
"123","ETHR"
"124","FMRFaR"
"125","fru"
"126","fz"
"127","fz2"
"128","fz3"
"129","fz4"
"130","fzo"
"131","fzr"
"132","fzr2"
"133","fzy"
"134","GAA1"
"135","GABA-B-R1"
"136","GABA-B-R2"
"137","GABA-B-R3"
"138","gfzf"
"139","Gprk1"
"140","Gprk2"
"141","Gr10b"
"142","Gr28b"
"143","Gr36a"
"144","Gr39a"
"145","Gr39b"
"146","Gr93d"
"147","grk"
"148","Haspin"
"149","hec"
"150","Irk1"
"151","Irk2"
"152","Irk3"
"153","KCNQ"
"154","KdelR"
"155","lark"
"156","Lfg"
"157","Lgr1"
"158","Lgr4"
"159","List"
"160","Listericin"
"161","Lkr"
"162","Lrrk"
"163","mAChR-A"
"164","mAChR-B"
"165","mGluR"
"166","moody"
"167","MsR1"
"168","MsR2"
"169","mth"
"170","mthl1"
"171","mthl10"
"172","mthl11"
"173","mthl14"
"174","mthl15"
"175","mthl2"
"176","mthl3"
"177","mthl4"
"178","mthl5"
"179","mthl8"
"180","mtt"
"181","nan"
"182","Nmda1"
"183","nompC"
"184","NPFR"
"185","Nrk"
"186","Oamb"
"187","Octbeta1R"
"188","Octbeta2R"
"189","Octbeta3R"
"190","Oct-TyrR"
"191","Or49b"
"192","Or63a"
"193","Or94a"
"194","Or9a"
"195","Orco"
"196","Orcokinin"
"197","Ork1"
"198","park"
"199","Pdfr"
"200","PGAP3"
"201","PIG-C"
"202","pirk"
"203","PK1-R"
"204","PK2-R1"
"205","PK2-R2"
"206","Proc-R"
"207","Rh2"
"208","Rh3"
"209","Rh4"
"210","rho"
"211","rho-4"
"212","rho-5"
"213","rho-6"
"214","rho-7"
"215","rk"
"216","ru"
"217","rudhira"
"218","rumi"
"219","rump"
"220","run"
"221","rush"
"222","rut"
"223","rux"
"224","RYa-R"
"225","sand"
"226","SCAP"
"227","schlank"
"228","Shal"
"229","Shark"
"230","Sirup"
"231","slo"
"232","SLO2"
"233","slou"
"234","slow"
"235","slv"
"236","sNPF-R"
"237","spin"
"238","SPR"
"239","stan"
"240","ste14"
"241","ste24a"
"242","ste24b"
"243","stet"
"244","Strumpellin"
"245","subdued"
"246","Surf4"
"247","tinc"
"248","TkR86C"
"249","TkR99D"
"250","Tre1"
"251","trk"
"252","TrpA1"
"253","Trpgamma"
"254","Trpm"
"255","trus"
"256","TyrR"
"257","TyrRII"
"258","TyrRS"
"259","TyrRS-m"
"260","Vha100-2"
"261","Vha100-5"
"262","wtrw"
