"","V1","V2","V3","V4","V5","V6","V7"
"71","5-HT1A10","5.90148242541482","52.8925619834711","5-HT1A","10","0.857991283859604","[OG0000006]"
"86","5-HT1A13","15.754033616657","93.516699410609","5-HT1A","13","2.5","[OG0000006]"
"118","5-HT1A17","4.80999274480344","30.0970873786408","5-HT1A","17","0.560446276807471","[OG0000006]"
"146","5-HT1A20","4.71049882143783","55.7291666666667","5-HT1A","20","0.533323784808387","[OG0000006]"
"181","5-HT1A24","6.37371124195041","55.786350148368","5-HT1A","24","0.986722987917124","[OG0000006]"
"189","5-HT1A25","6.45967522364673","48.936170212766","5-HT1A","25","1.01015715682813","[OG0000006]"
"263","5-HT1A35","6.17554346700255","50","5-HT1A","35","0.932701559183745","[OG0000006]"
"343","5-HT1A45","24.9997228246744","97.0059880239521","5-HT1A","45","2.5","[OG0000006]"
"442","5-HT1A53","6.38770806164804","67.5","5-HT1A","53","0.990538584060282","[OG0000006]"
"572","5-HT1A62","6.91550755065535","75.4098360655738","5-HT1A","62","1.13441910393","[OG0000006]"
"35","5-HT1B6","2.4495684790423","45.0202429149798","5-HT1B","6","2.5","[OG0000006]"
"72","5-HT1B10","1.57593495795839","27.1349862258953","5-HT1B","10","1.38702362917985","[OG0000006]"
"171","5-HT1B23","1.68973120037141","34.7181008902077","5-HT1B","23","1.55780138194058","[OG0000006]"
"182","5-HT1B24","1.19416097308296","28.7833827893175","5-HT1B","24","0.814082890390793","[OG0000006]"
"236","5-HT1B32","0.987277775929313","29.4776119402985","5-HT1B","32","0.503606492008312","[OG0000006]"
"344","5-HT1B45","4.68663645668484","64.6706586826347","5-HT1B","45","2.5","[OG0000006]"
"573","5-HT1B62","1.38336186086248","27.8688524590164","5-HT1B","62","1.09802286723158","[OG0000006]"
"103","5-HT2A15","3.23655864696119","47.0997679814385","5-HT2A","15","2.219590750063","[OG0000006]"
"147","5-HT2A20","1.62394060211241","30.46875","5-HT2A","20","0.678798423280317","[OG0000006]"
"153","5-HT2A21","2.9544108113249","52.6627218934911","5-HT2A","21","1.95000972834778","[OG0000006]"
"169","5-HT2A22","2.37098451623185","36.6863905325444","5-HT2A","22","1.39256913564567","[OG0000006]"
"183","5-HT2A24","2.45098882936876","43.026706231454","5-HT2A","24","1.46901007104549","[OG0000006]"
"220","5-HT2A30","4.5725201414562","52.7272727272727","5-HT2A","30","2.5","[OG0000006]"
"228","5-HT2A31","1.93758772924023","30.03663003663","5-HT2A","31","0.978475763701798","[OG0000006]"
"247","5-HT2A33","4.26109406358489","50.78125","5-HT2A","33","2.5","[OG0000006]"
"377","5-HT2A47","2.58232384757216","42","5-HT2A","47","1.59449545112794","[OG0000006]"
"407","5-HT2A50","3.15384823576936","40.7407407407407","5-HT2A","50","2.14056424572956","[OG0000006]"
"451","5-HT2A54","1.86957614485703","38.6138613861386","5-HT2A","54","0.913493403071088","[OG0000006]"
"580","5-HT2A63","2.2989364752842","50.8474576271186","5-HT2A","63","1.32373010150087","[OG0000006]"
